kernel_width,elems_per_pe,left_cycles,middle_cycles,right_cycles,walltime
32,251,4355,5200,10204,19.656599283218384
32,261,4526,5403,10607,20.058814525604248
32,271,4695,5611,11015,21.334766387939453
32,281,4866,5814,11418,21.31425380706787
32,291,5035,6022,11826,22.560976266860962
32,301,5206,6225,12229,23.87327551841736
32,311,5375,6433,12637,23.6472384929657
32,321,5546,6636,13040,24.4305682182312
32,331,5715,6844,13448,25.78300142288208
32,341,5886,7047,13851,25.605751991271973
32,351,6055,7255,14259,27.49184560775757
32,361,6226,7458,14662,27.75222873687744
32,371,6395,7666,15070,28.049925804138184
32,381,6566,7869,15473,28.48094940185547
32,391,6735,8077,15881,29.30414581298828
32,401,6906,8280,16284,30.418410301208496
32,411,7075,8488,16692,30.992769241333008
32,421,7246,8691,17095,31.363680601119995
32,431,7415,8899,17503,33.77041149139404
32,441,7586,9102,17906,33.00270175933838
32,451,7755,9310,18314,34.786144733428955
32,461,7926,9513,18717,35.17974400520325
32,471,8094,9721,19125,34.64244604110718
32,481,8266,9924,19528,36.993332624435425
32,491,8435,10132,19936,36.574434995651245
